"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-9-15","317.20","320.00","321.80","317.00","19.22M","-0.81%"
"2023-9-14","319.80","322.40","322.60","318.40","10.15M","-0.12%"
"2023-9-13","320.20","326.00","326.00","319.00","10.66M","-0.56%"
"2023-9-12","322.00","328.00","328.00","319.80","10.40M","-0.62%"
"2023-9-11","324.00","315.40","325.40","315.40","18.81M","0.75%"
"2023-9-7","321.60","326.60","327.20","320.20","16.72M","-1.83%"
"2023-9-6","327.60","329.00","329.00","323.20","16.49M","-0.43%"
"2023-9-5","329.00","332.00","335.00","327.40","13.25M","-1.32%"
"2023-9-4","333.40","330.00","334.60","328.40","30.75M","2.58%"
"2023-8-31","325.00","331.00","331.80","322.00","49.74M","-0.25%"
"2023-8-30","325.80","333.80","334.00","325.00","15.19M","-1.09%"
"2023-8-29","329.40","325.40","332.00","325.40","15.38M","1.29%"
"2023-8-28","325.20","330.60","333.60","324.80","19.40M","1.63%"
"2023-8-25","320.00","322.60","323.80","320.00","12.54M","-1.60%"
"2023-8-24","325.20","321.00","328.00","321.00","22.34M","2.26%"
"2023-8-23","318.00","320.00","321.40","317.00","17.24M","-0.31%"
"2023-8-22","319.00","318.20","324.60","314.40","24.68M","0.31%"
"2023-8-21","318.00","321.00","325.80","318.00","25.70M","-2.15%"
"2023-8-18","325.00","329.40","332.80","325.00","18.11M","-2.34%"
"2023-8-17","332.80","320.60","335.80","320.60","28.82M","1.22%"
"2023-8-16","328.80","329.80","331.00","327.60","16.48M","-1.14%"
"2023-8-15","332.60","331.20","335.00","330.60","10.79M","-0.18%"
"2023-8-14","333.20","328.00","334.40","327.80","15.75M","-0.77%"
"2023-8-11","335.80","338.80","341.60","334.60","12.30M","-1.18%"
"2023-8-10","339.80","337.20","341.60","335.60","11.19M","0.77%"
"2023-8-9","337.20","333.00","338.20","332.00","11.92M","0.72%"
"2023-8-8","334.80","334.40","337.20","333.40","15.38M","-1.88%"
"2023-8-7","341.20","340.20","341.80","338.00","9.48M","-0.64%"
"2023-8-4","343.40","348.60","350.60","339.20","19.10M","0.35%"
"2023-8-3","342.20","342.00","347.80","339.00","16.66M","-0.35%"
"2023-8-2","343.40","351.60","352.40","340.20","21.04M","-2.99%"
"2023-8-1","354.00","356.00","361.00","347.20","23.44M","-0.11%"
"2023-7-31","354.40","360.00","363.00","350.80","36.80M","1.14%"
"2023-7-28","350.40","343.80","352.00","338.60","22.24M","1.92%"
"2023-7-27","343.80","346.00","346.40","340.40","13.65M","0.82%"
"2023-7-26","341.00","344.80","344.80","338.20","14.94M","-1.16%"
"2023-7-25","345.00","337.00","345.60","335.00","29.20M","6.15%"
"2023-7-24","325.00","328.60","331.00","323.80","17.45M","-2.40%"
"2023-7-21","333.00","332.80","337.40","331.00","11.84M","0.06%"
"2023-7-20","332.80","336.00","341.80","330.60","16.56M","-0.06%"
"2023-7-19","333.00","330.60","333.80","327.00","21.91M","-1.01%"
"2023-7-18","336.40","351.80","351.80","335.00","29.15M","-4.59%"
"2023-7-14","352.60","354.80","354.80","348.80","21.21M","0.80%"
"2023-7-13","349.80","350.00","350.60","347.00","27.32M","2.88%"
"2023-7-12","340.00","338.60","341.00","335.80","16.85M","1.86%"
"2023-7-11","333.80","332.60","335.60","330.20","12.36M","1.52%"
"2023-7-10","328.80","333.80","335.80","327.40","17.29M","0.67%"
"2023-7-7","326.60","323.20","331.60","320.00","21.60M","-0.06%"
"2023-7-6","326.80","332.20","337.00","325.40","19.78M","-2.56%"
"2023-7-5","335.40","339.80","341.00","333.20","9.86M","-1.12%"
"2023-7-4","339.20","336.40","341.20","336.20","9.44M","0.36%"
"2023-7-3","338.00","331.80","340.00","331.80","14.20M","1.93%"
"2023-6-30","331.60","331.00","333.80","329.40","16.20M","-0.60%"
"2023-6-29","333.60","339.00","339.00","331.20","13.52M","-0.77%"
"2023-6-28","336.20","340.00","341.00","333.80","15.89M","-1.52%"
"2023-6-27","341.40","332.80","344.40","332.80","17.49M","2.58%"
"2023-6-26","332.80","335.60","339.40","330.20","18.16M","-1.25%"
"2023-6-23","337.00","340.00","340.80","333.00","13.90M","-1.00%"
"2023-6-21","340.40","341.60","346.00","337.00","19.30M","-2.74%"
"2023-6-20","350.00","354.00","359.20","347.20","16.28M","-2.02%"
"2023-6-19","357.20","359.60","360.00","350.40","20.27M","-1.60%"
"2023-6-16","363.00","359.00","364.40","355.80","35.85M","2.25%"
"2023-6-15","355.00","353.00","355.00","348.00","25.01M","2.72%"
"2023-6-14","345.60","346.60","353.40","344.00","22.08M","0.23%"
"2023-6-13","344.80","339.60","348.40","338.00","23.12M","1.89%"
"2023-6-12","338.40","340.00","340.00","334.20","13.49M","0.71%"
"2023-6-9","336.00","336.40","340.00","333.80","16.18M","0.36%"
"2023-6-8","334.80","332.80","335.20","328.20","13.13M","-0.24%"
"2023-6-7","335.60","340.00","340.00","334.60","18.25M","1.33%"
"2023-6-6","331.20","338.00","339.20","329.00","16.70M","-2.07%"
"2023-6-5","338.20","336.00","338.80","330.00","19.89M","1.20%"
"2023-6-2","334.20","327.60","334.20","323.40","32.06M","5.96%"
"2023-6-1","315.40","312.60","323.40","311.20","22.95M","1.55%"
"2023-5-31","310.60","314.60","314.60","306.00","32.13M","-1.77%"
"2023-5-30","316.20","311.80","318.20","307.60","21.74M","0.96%"
"2023-5-29","313.20","327.20","327.20","311.20","28.84M","-2.85%"
"2023-5-25","322.40","329.80","330.60","318.40","26.03M","-3.01%"
