"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-9-22","45.65","44.92","45.67","44.61","15.36M","2.33%"
"2023-9-21","44.61","44.96","45.30","44.42","12.80M","-0.91%"
"2023-9-20","45.02","45.51","45.88","45.01","15.73M","-2.11%"
"2023-9-19","45.99","47.10","47.20","45.81","15.76M","-2.58%"
"2023-9-18","47.21","46.02","48.14","45.92","17.98M","2.01%"
"2023-9-15","46.28","46.63","47.30","46.03","14.95M","-0.60%"
"2023-9-14","46.56","47.19","47.56","46.43","11.80M","-1.73%"
"2023-9-13","47.38","47.98","48.46","47.24","12.52M","-2.01%"
"2023-9-12","48.35","48.09","49.49","47.84","14.96M","0.44%"
"2023-9-11","48.14","47.20","48.86","46.91","15.73M","1.24%"
"2023-9-8","47.55","47.69","48.16","46.81","14.02M","-0.34%"
"2023-9-7","47.71","49.50","50.20","47.70","20.55M","-2.71%"
"2023-9-6","49.04","49.39","49.62","48.66","14.43M","-1.17%"
"2023-9-5","49.62","49.90","50.25","49.48","11.41M","-0.94%"
"2023-9-4","50.09","49.23","50.26","48.58","16.29M","2.29%"
"2023-9-1","48.97","49.50","49.79","48.85","9.83M","-0.87%"
"2023-8-31","49.40","50.07","50.11","49.05","17.94M","-1.98%"
"2023-8-30","50.40","50.76","51.45","50.25","15.52M","-0.71%"
"2023-8-29","50.76","48.59","51.18","48.50","21.74M","3.80%"
"2023-8-28","48.90","51.99","52.33","48.58","21.98M","0.62%"
"2023-8-25","48.60","49.88","49.97","48.46","17.60M","-2.74%"
"2023-8-24","49.97","50.13","50.66","49.68","16.96M","0.40%"
"2023-8-23","49.77","51.80","51.93","49.71","15.56M","-4.03%"
"2023-8-22","51.86","52.68","53.30","50.58","20.57M","-1.58%"
"2023-8-21","52.69","54.03","54.28","52.69","17.77M","-2.97%"
"2023-8-18","54.30","55.06","56.05","54.30","12.00M","-1.36%"
"2023-8-17","55.05","55.40","55.79","54.60","11.97M","-0.65%"
"2023-8-16","55.41","55.97","56.98","55.41","9.79M","-1.11%"
