,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",0.0,0.0,2.3141723091691814e-07,0.0
"[5.0, 45.0, 35.0, 75.0]",3.3853717606094995e-10,0.0,0.0,0.0
"[5.0, 85.0, 35.0, 115.0]",0.0,0.0,-0.029701,0.0
terminal,0.0,0.0,0.0,0.0
"[45.0, 5.0, 75.0, 35.0]",2.0418279400894866e-10,0.0,5.761880529026153e-06,5.615912810369971e-12
"[45.0, 45.0, 75.0, 75.0]",0.0,-0.01,-0.029701,0.0
"[5.0, 125.0, 35.0, 155.0]",0.0,0.0,0.0,0.0
"[45.0, 125.0, 75.0, 155.0]",-0.01,0.0,0.0,0.0
"[85.0, 5.0, 115.0, 35.0]",7.235305913011289e-07,-0.03940399,0.00012324567613956937,3.8904775111956816e-09
"[85.0, 125.0, 115.0, 155.0]",0.0,0.0,0.0,0.0
"[125.0, 125.0, 155.0, 155.0]",0.0015026112595446584,8.100000000000001e-07,0.0,0.0
"[125.0, 85.0, 155.0, 115.0]",0.0,8.100000000000001e-07,0.00061927182,0.2452807127963673
"[125.0, 5.0, 155.0, 35.0]",3.0991127451831006e-07,0.0021932452857286555,2.455584166784844e-06,4.378233030725791e-09
"[125.0, 45.0, 155.0, 75.0]",2.1257312022900006e-07,0.028572973618137952,0.0,-0.01
